genome	rate	I_alg	S_alg	k	d	kmer_count	num_queries	index_bytes	pref
escherichia_coli.k32	0.01	fmsi	local	31	1	1622989	1000000	16295355	fmsi.escherichia_coli.k32.S_local.k_31.d_1
escherichia_coli.k32	0.01	fmsi	local	31	2	1622989	1000000	16141491	fmsi.escherichia_coli.k32.S_local.k_31.d_2
escherichia_coli.k32	0.01	fmsi	local	31	3	1622989	1000000	15989635	fmsi.escherichia_coli.k32.S_local.k_31.d_3
escherichia_coli.k32	0.01	fmsi	local	31	4	1622989	1000000	15846027	fmsi.escherichia_coli.k32.S_local.k_31.d_4
escherichia_coli.k32	0.01	fmsi	local	31	5	1622989	1000000	15710755	fmsi.escherichia_coli.k32.S_local.k_31.d_5
escherichia_coli.k32	0.01	cbl	none	31	na	1622989	1000000	16115938	cbl.escherichia_coli.k32.S_none.k_31.d_na
escherichia_coli.k32	0.01	sbwt	none	31	0	1622989	1000000	36356344	sbwt.escherichia_coli.k32.S_none.k_31.d_0
escherichia_coli.k32	0.01	sbwt	none	31	1	1622989	1000000	19096216	sbwt.escherichia_coli.k32.S_none.k_31.d_1
escherichia_coli.k32	0.01	sbwt	none	31	2	1622989	1000000	24074410	sbwt.escherichia_coli.k32.S_none.k_31.d_2
escherichia_coli.k32	0.01	bwa	prophasm	31	na	1622989	1000000	137111400	bwa.escherichia_coli.k32.S_prophasm.k_31.d_na
escherichia_coli.k32	0.01	SSHash	prophasm	31	na	1622989	1000000	20278454	sshash.escherichia_coli.k32.S_prophasm.k_31.d_na
escherichia_coli.k32	0.1	FMSIv02	global	15	na	9758419	1000000	11088111	FMSIv02.escherichia_coli.k32.S_global.k_15.d_na
escherichia_coli.k32	0.1	fmsi	global	15	na	9758419	1000000	12644275	fmsi.escherichia_coli.k32.S_global.k_15.d_na
escherichia_coli.k32	0.1	FMSIv02	local	15	1	9758419	1000000	38361321	FMSIv02.escherichia_coli.k32.S_local.k_15.d_1
escherichia_coli.k32	0.1	FMSIv02	local	15	2	9758419	1000000	29870401	FMSIv02.escherichia_coli.k32.S_local.k_15.d_2
escherichia_coli.k32	0.1	FMSIv02	local	15	3	9758419	1000000	21101521	FMSIv02.escherichia_coli.k32.S_local.k_15.d_3
escherichia_coli.k32	0.1	FMSIv02	local	15	4	9758419	1000000	15602849	FMSIv02.escherichia_coli.k32.S_local.k_15.d_4
escherichia_coli.k32	0.1	FMSIv02	local	15	5	9758419	1000000	13370145	FMSIv02.escherichia_coli.k32.S_local.k_15.d_5
escherichia_coli.k32	0.1	fmsi	local	15	1	9758419	1000000	49829219	fmsi.escherichia_coli.k32.S_local.k_15.d_1
escherichia_coli.k32	0.1	fmsi	local	15	2	9758419	1000000	37470043	fmsi.escherichia_coli.k32.S_local.k_15.d_2
escherichia_coli.k32	0.1	fmsi	local	15	3	9758419	1000000	25425851	fmsi.escherichia_coli.k32.S_local.k_15.d_3
escherichia_coli.k32	0.1	fmsi	local	15	4	9758419	1000000	18282147	fmsi.escherichia_coli.k32.S_local.k_15.d_4
escherichia_coli.k32	0.1	fmsi	local	15	5	9758419	1000000	15460915	fmsi.escherichia_coli.k32.S_local.k_15.d_5
escherichia_coli.k32	0.1	cbl	none	15	na	9758419	1000000	38951424	cbl.escherichia_coli.k32.S_none.k_15.d_na
escherichia_coli.k32	0.1	sbwt	none	15	0	9758419	1000000	34864632	sbwt.escherichia_coli.k32.S_none.k_15.d_0
escherichia_coli.k32	0.1	sbwt	none	15	1	9758419	1000000	20323704	sbwt.escherichia_coli.k32.S_none.k_15.d_1
escherichia_coli.k32	0.1	sbwt	none	15	2	9758419	1000000	33385666	sbwt.escherichia_coli.k32.S_none.k_15.d_2
escherichia_coli.k32	0.1	bwa	prophasm	15	na	9758419	1000000	480676357	bwa.escherichia_coli.k32.S_prophasm.k_15.d_na
escherichia_coli.k32	0.1	SSHash	prophasm	15	na	9758419	1000000	68122182	sshash.escherichia_coli.k32.S_prophasm.k_15.d_na
escherichia_coli.k32	0.1	FMSIv02	global	17	na	12419323	1000000	18708944	FMSIv02.escherichia_coli.k32.S_global.k_17.d_na
escherichia_coli.k32	0.1	fmsi	global	17	na	12419323	1000000	21100915	fmsi.escherichia_coli.k32.S_global.k_17.d_na
escherichia_coli.k32	0.1	FMSIv02	local	17	1	12419323	1000000	57244515	FMSIv02.escherichia_coli.k32.S_local.k_17.d_1
escherichia_coli.k32	0.1	FMSIv02	local	17	2	12419323	1000000	51247538	FMSIv02.escherichia_coli.k32.S_local.k_17.d_2
escherichia_coli.k32	0.1	FMSIv02	local	17	3	12419323	1000000	44342890	FMSIv02.escherichia_coli.k32.S_local.k_17.d_3
escherichia_coli.k32	0.1	FMSIv02	local	17	4	12419323	1000000	36204137	FMSIv02.escherichia_coli.k32.S_local.k_17.d_4
escherichia_coli.k32	0.1	FMSIv02	local	17	5	12419323	1000000	28486753	FMSIv02.escherichia_coli.k32.S_local.k_17.d_5
escherichia_coli.k32	0.1	fmsi	local	17	1	12419323	1000000	67611203	fmsi.escherichia_coli.k32.S_local.k_17.d_1
escherichia_coli.k32	0.1	fmsi	local	17	2	12419323	1000000	60120523	fmsi.escherichia_coli.k32.S_local.k_17.d_2
escherichia_coli.k32	0.1	fmsi	local	17	3	12419323	1000000	51680851	fmsi.escherichia_coli.k32.S_local.k_17.d_3
escherichia_coli.k32	0.1	fmsi	local	17	4	12419323	1000000	41852163	fmsi.escherichia_coli.k32.S_local.k_17.d_4
escherichia_coli.k32	0.1	fmsi	local	17	5	12419323	1000000	32686243	fmsi.escherichia_coli.k32.S_local.k_17.d_5
escherichia_coli.k32	0.1	cbl	none	17	na	12419323	1000000	46964103	cbl.escherichia_coli.k32.S_none.k_17.d_na
escherichia_coli.k32	0.1	sbwt	none	17	0	12419323	1000000	65458520	sbwt.escherichia_coli.k32.S_none.k_17.d_0
escherichia_coli.k32	0.1	sbwt	none	17	1	12419323	1000000	36578296	sbwt.escherichia_coli.k32.S_none.k_17.d_1
escherichia_coli.k32	0.1	sbwt	none	17	2	12419323	1000000	57192874	sbwt.escherichia_coli.k32.S_none.k_17.d_2
escherichia_coli.k32	0.1	bwa	prophasm	17	na	12419323	1000000	690026732	bwa.escherichia_coli.k32.S_prophasm.k_17.d_na
escherichia_coli.k32	0.1	SSHash	prophasm	17	na	12419323	1000000	97292580	sshash.escherichia_coli.k32.S_prophasm.k_17.d_na
escherichia_coli.k32	0.1	FMSIv02	global	19	na	13230839	1000000	24372449	FMSIv02.escherichia_coli.k32.S_global.k_19.d_na
escherichia_coli.k32	0.1	fmsi	global	19	na	13230839	1000000	27493787	fmsi.escherichia_coli.k32.S_global.k_19.d_na
escherichia_coli.k32	0.1	FMSIv02	local	19	1	13230839	1000000	67858499	FMSIv02.escherichia_coli.k32.S_local.k_19.d_1
escherichia_coli.k32	0.1	FMSIv02	local	19	2	13230839	1000000	62049939	FMSIv02.escherichia_coli.k32.S_local.k_19.d_2
escherichia_coli.k32	0.1	FMSIv02	local	19	3	13230839	1000000	56805075	FMSIv02.escherichia_coli.k32.S_local.k_19.d_3
escherichia_coli.k32	0.1	FMSIv02	local	19	4	13230839	1000000	51745450	FMSIv02.escherichia_coli.k32.S_local.k_19.d_4
escherichia_coli.k32	0.1	FMSIv02	local	19	5	13230839	1000000	46262499	FMSIv02.escherichia_coli.k32.S_local.k_19.d_5
escherichia_coli.k32	0.1	fmsi	local	19	1	13230839	1000000	78447899	fmsi.escherichia_coli.k32.S_local.k_19.d_1
escherichia_coli.k32	0.1	fmsi	local	19	2	13230839	1000000	71471627	fmsi.escherichia_coli.k32.S_local.k_19.d_2
escherichia_coli.k32	0.1	fmsi	local	19	3	13230839	1000000	65312899	fmsi.escherichia_coli.k32.S_local.k_19.d_3
escherichia_coli.k32	0.1	fmsi	local	19	4	13230839	1000000	59420219	fmsi.escherichia_coli.k32.S_local.k_19.d_4
escherichia_coli.k32	0.1	fmsi	local	19	5	13230839	1000000	53078139	fmsi.escherichia_coli.k32.S_local.k_19.d_5
escherichia_coli.k32	0.1	cbl	none	19	na	13230839	1000000	62538644	cbl.escherichia_coli.k32.S_none.k_19.d_na
escherichia_coli.k32	0.1	sbwt	none	19	0	13230839	1000000	93984312	sbwt.escherichia_coli.k32.S_none.k_19.d_0
escherichia_coli.k32	0.1	sbwt	none	19	1	13230839	1000000	51580824	sbwt.escherichia_coli.k32.S_none.k_19.d_1
escherichia_coli.k32	0.1	sbwt	none	19	2	13230839	1000000	76113506	sbwt.escherichia_coli.k32.S_none.k_19.d_2
escherichia_coli.k32	0.1	bwa	prophasm	19	na	13230839	1000000	784010697	bwa.escherichia_coli.k32.S_prophasm.k_19.d_na
escherichia_coli.k32	0.1	SSHash	prophasm	19	na	13230839	1000000	110749548	sshash.escherichia_coli.k32.S_prophasm.k_19.d_na
escherichia_coli.k32	0.1	FMSIv02	global	21	na	13792900	1000000	29110729	FMSIv02.escherichia_coli.k32.S_global.k_21.d_na
escherichia_coli.k32	0.1	fmsi	global	21	na	13792900	1000000	32861787	fmsi.escherichia_coli.k32.S_global.k_21.d_na
escherichia_coli.k32	0.1	FMSIv02	local	21	1	13792900	1000000	77520627	FMSIv02.escherichia_coli.k32.S_local.k_21.d_1
